i,A_i_C_Car
1,16.777907292420927
3,16.239557226060764
4,15.417513422151755
5,17.636623482139523
6,17.932528660740076
7,18.850350540378553
8,19.91535796474716
9,19.364950140305982
11,18.910715464600372
12,18.101026890720547
13,17.162463711078072
14,17.446767837124614
15,18.53797664668454
16,18.306161282914697
17,18.583141915410938
18,20.283804597661668
19,21.562676880312566
20,20.821371531350614
21,21.281088500838894
22,20.032575217592573
23,18.513838770585775
24,18.65320161225407
28,18.252570277312447
29,20.386195951578483
30,19.47598061931177
31,20.12157807112125
32,20.94094540487164
33,20.46219840220377
34,20.607042611783967
35,20.819268198811383
36,19.29850897704108
37,17.766432689746292
39,18.55609974161077
40,20.31868306524063
41,14.718871800165456
42,15.75533868377811
43,18.74867598007676
44,18.579059783664565
46,17.60974581051823
47,18.901428579994466
48,18.437964381948138
49,15.245678937853258
50,19.017198114647186
51,19.090015254091597
52,17.69190619843478
56,19.302911691907816
57,18.11608009269767
58,18.034324897251622
59,18.05718851395381
60,17.42145847073086
61,18.488556138628084
65,18.637619118402824
66,16.816093153121017
68,15.992651623339226
73,11.891541059763938
74,18.116481435341363
75,21.147039013252883
76,19.73223924392682
77,13.809999136259435
79,17.665236866547062
81,15.55631775478862
83,14.14712999926919
84,15.173560856666803
85,20.306452411827703
86,20.556138532692778
87,18.648095195552596
93,20.03887847647176
94,19.227824988451804
95,17.938156280712352
96,19.012070150299582
98,17.13505603427134
99,15.10068590993128
100,13.563545715288097
101,15.497121448858996
102,14.829937441792975
103,16.329874938273843
105,11.944112864760365
106,13.790135194152894
107,12.784074895786928
109,13.519696415843098
110,16.34433361986047
111,13.398003953323341
112,15.241298244676763
114,11.861640025504736
115,12.704191768978816
116,14.205381678899096
117,11.800027942979538
118,11.361951187347424
119,13.95888091362402
120,11.982577087638978
121,11.782522491994714
122,13.107070681992186
123,14.332995540387437
125,11.472382945401652
128,11.29844643324919
131,17.434673440995475
132,16.82793269592296
133,16.184349823011715
134,15.770265239632721
135,16.5135792134383
136,14.032260543138909
137,14.330449539108315
138,16.64088491508196
139,17.04958656774152
143,17.4921657276359
144,19.574184036214508
145,19.104007723233227
146,19.41436905831024
147,20.070207448698348
148,19.659064731557528
149,16.930371510998203
150,20.178347023739665
151,17.494321752569245
153,11.126526223065852
154,14.241682819802191
157,13.637722544292442
158,14.516062607355002
159,16.33834281824454
160,15.184409223677633
162,16.612456576753328
163,14.704550028430322
164,13.299143957339389
165,14.89489758399789
166,15.293923824757961
168,16.459719586702548
169,17.13095563163545
170,19.585257875990887
172,14.967308206923192
173,19.31245214458243
174,10.133327544533312
175,10.152011635135015
176,10.201367879711688
177,10.512744672586646
180,12.466298372958999
181,9.547080287181352
182,8.238594233122678
183,7.565759831278708
185,11.170325862895357
186,12.080775562166517
187,10.007274793029751
188,11.637481935123239
189,12.39449919040749
190,9.935137107474057
194,11.876482851211016
195,12.496778997682314
196,8.278376984975718
197,10.94320129382995
198,14.851781365257466
199,16.3653244284608
200,15.003766595946638
202,12.882756540495615
203,16.420717157772458
204,15.761068495639671
205,15.482799804215333
206,11.89848001109323
207,12.720431020623687
208,14.508431247845197
209,13.123474012038054
212,9.79927614144973
213,11.523832182371718
214,12.99417607512876
215,9.918593480177625
221,11.457386738756707
222,8.517088848616565
223,12.659772702732642
224,12.528243212579646
225,9.200197570647438
226,5.70133620775042
227,11.933698578041835
230,12.355784045410543
231,7.200194060916646
232,9.060452113764724
233,8.094776843246384
234,12.321393271904547
235,6.124828542306701
236,7.1745774745172595
237,16.382186129718505
238,11.669732183055611
240,13.043307986015577
241,13.431680197735703
242,12.830731631651224
243,14.6822423450686
244,14.117089558553207
245,13.910129056292766
246,12.859534752153431
247,11.962346216400583
248,11.98992017397264
249,12.620717804350063
250,16.398573516980466
251,15.937139988075291
252,12.364687612305916
253,9.473199351240362
254,7.8036518375441934
256,10.718516110681836
257,8.802156781368756
258,9.816002556736779
259,8.815949979450174
260,11.132988963253613
261,11.700883463689745
262,8.89501713440839
263,11.59720817722456
264,13.710314686841958
265,10.646893327556295
267,9.260415242032991
269,13.024543535996006
270,9.765472935867294
271,8.987812871373716
272,7.122691921806332
275,6.789515589006977
276,5.007612072554767
277,5.0895875120277125
284,6.695626338211927
287,9.619298550584983
288,10.224864999953008
289,8.28843312311893
290,10.567370930952825
291,9.37838466994844
292,11.269758512034999
293,9.819697776049468
294,11.19922256751677
298,11.906668417302248
299,9.833497663939236
300,11.936716946581994
301,10.145419793957412
302,11.147905149581838
304,9.279850167022945
306,9.458037614958215
307,13.141942323706028
308,8.631267122193181
310,9.844881975401828
314,11.424926189389895
315,8.849390559599243
316,12.012909702020561
318,6.73708846495227
321,6.764769748342093
322,10.778822110110688
328,6.803798473054048
330,8.499508031636601
332,4.661903759219109
333,4.442041634994548
334,6.143402090306016
335,7.508302824026749
336,8.209921530976976
337,7.104618169996035
339,12.591296320010288
340,12.960726196842506
341,15.211888742924238
342,11.749188548458518
343,12.683793705357596
344,12.17299892978676
345,11.541738357220105
346,12.772645868027112
347,10.387717550202321
348,14.551816693039214
349,9.043457083327665
350,10.176318606305715
352,9.235842648397075
353,9.691412882430447
354,6.202475240866679
355,9.79083175089333
356,7.652468754676024
358,4.789548892392481
359,4.341720917022764
360,12.312746690217045
361,10.135396706198618
362,10.720272894372755
363,11.578501008454355
365,9.525265003465236
366,9.535543492474032
367,8.169464240667834
368,8.651712105413624
369,5.831376174540084
370,4.306485900210395
373,8.50419532289337
374,7.163592208874533
375,7.07139262930756
376,4.886217466613666
377,9.433960187548085
378,8.615136870732512
379,5.188083573641203
380,6.7874156455488714
381,6.56773835426044
382,7.041863376955876
383,7.335642741717421
384,5.1092391027785355
385,5.410235747573033
386,4.275627705507747
387,14.475365811486627
389,9.72123212095531
390,8.631872709688334
392,16.55182763045193
394,16.38399989608148
395,15.225684925259412
396,15.261008886686453
397,15.143907025911547
398,13.736056175323636
399,16.998936299437695
400,13.934387621141372
401,14.558478504084366
402,14.446347107825623
403,17.02519926946893
404,16.960270083081745
405,14.49046433867779
406,13.596653800069985
407,12.512702932065972
408,13.64525643944239
409,11.09390775101347
410,11.553512034065623
413,12.628244578381802
414,10.43795010975731
415,10.420695354583804
417,12.542123545572489
418,12.637231118615311
419,11.720377721555137
420,13.628171262891925
421,10.595561899230876
422,10.867932200829333
423,8.916412202501782
424,9.066650066814358
425,10.035958605210181
426,10.816946985678364
427,8.906500295774364
428,10.170569374954113
429,11.899082083909036
430,12.087317378026686
431,10.454949753187089
432,11.484076866594483
433,12.521346927371278
434,10.900978596560043
435,9.519413202592919
436,10.707419347232582
437,12.700267491736726
439,9.708483739199021
442,9.679983649585036
443,10.062829489147335
445,7.928580004912952
447,10.316988429955865
448,9.553167999937285
453,12.709104767747721
454,10.254134792751636
455,8.892626326850673
456,9.982041825009611
457,9.780226163611776
459,6.332735481044976
460,6.505561062895971
461,7.422761353760703
462,8.05252116338291
463,6.502697777164081
464,6.97037319018436
465,7.901969915664842
468,7.697906756952323
470,10.232385667639024
471,5.872944603757578
472,7.766960417150102
473,8.06107555337858
474,9.766690405193808
475,6.619288525482581
476,7.417663785504474
477,9.138004103216405
478,6.17293828044856
479,5.389799629056678
480,7.32824360644549
481,6.566271183815244
482,7.332239005345696
483,8.819352630975894
484,8.466073248874554
485,6.540446216164245
486,7.378418350392806
487,7.87716806638107
488,5.75197582621782
489,8.286738389161385
490,8.428308793373334
493,5.344260051252907
495,3.0768487950479013
499,6.856624028351214
501,5.949389931661761
515,6.154261244129217
518,5.903963671850448
519,6.348098762258143
522,5.2484720834907534
524,5.465976442700783
528,7.004589170788818
529,6.918732125879481
530,6.292846871828038
531,7.002387817289784
532,8.587491326969426
533,4.968103047972023
534,6.648449418149846
540,3.7745883179019017
542,3.9473061093384803
543,5.050552346277623
544,3.4146361430949486
545,4.614940671801161
546,4.7492044599321455
547,4.076432823641278
548,2.9366813747092007
549,4.072655805504889
550,4.219244281163702
551,4.176275916208738
553,6.616577285772688
554,10.298890135275125
555,10.311235866533517
556,10.26245334182463
557,6.416499723819285
558,7.4171529613451215
559,6.172077256514862
560,9.667946733892402
561,6.295060642949898
563,8.415414566731108
565,6.106350772250252
566,5.56886419730547
567,5.450189539191271
568,8.043157567658357
570,8.026482671402894
571,7.896338816031318
572,5.716100216701003
573,5.652350366882117
574,5.439648062290656
575,7.96536970212559
576,8.132978408282002
577,5.255283561790751
578,6.473794917393207
579,6.480023555088519
580,6.480033248907453
581,6.822795415530141
582,6.852431321749621
583,6.480041192453523
584,6.452391369096446
585,6.475925538013037
586,6.837094777058749
587,6.061753704050506
588,6.061753704050506
589,6.046369088665891
591,7.321101547076917
592,6.047687829510617
593,6.136688803734481
594,7.034971107720407
596,6.403435384583332
603,7.6987624836822866
605,5.32047045796907
607,8.599610056919538
609,6.503575053257428
610,7.022128067125813
611,7.334208173297233
613,3.686934814315192
615,3.892846818753628
617,3.23032236504654
623,6.211840568618832
624,4.223907324710425
625,5.349827388020277
627,5.313880739473201
628,5.3983326367843905
630,4.946836674484629
631,3.4386535271985985
632,5.373402513136652
634,5.169819744310783
638,4.893784377518571
640,4.661903516704718
641,3.329234423094243
642,3.7431144628240003
644,4.0224436583126995
645,2.8158779230706394
646,3.68242655773916
647,3.5025833763324496
650,8.599610056919538
651,5.557279031318444
652,3.5364001845624955
653,3.9402326377701957
654,2.2229700457345194
655,2.846519744724792
657,2.9998213911480462
658,3.9667890703890656
661,4.740968898944878
662,4.244217568496637
664,5.599610056919531
665,7.451434908224002
666,2.5996100569195306
667,2.991585459751576
668,7.50247260574767
670,2.5996100569195306
672,6.261711663105235
673,0.5996100569195306
677,3.101062447849414
682,2.863687333473686
683,3.5636236803889707
685,2.9539187260839337
687,4.0956715523630915
688,4.752338354936594
689,3.9257692413484473
691,4.604765785201361
694,8.310226889508657
697,5.508492988273879
699,8.789502556268783
700,9.04974499907731
701,8.376867102547463
702,13.374906544779632
703,13.884821069355036
705,10.625785867753883
706,10.397281585739055
707,13.500032072097751
708,11.073890814050733
709,12.596883687009527
710,11.3747623202554
711,11.83769812557614
712,11.9378277084775
713,12.53846353820226
714,12.167846910236886
715,11.972096546829828
716,12.383121073567892
717,11.006084271383573
718,12.773989003760107
719,12.56866484288088
720,13.968887433015347
723,7.7548640219759575
724,10.749295355597233
725,9.633529814465078
726,9.250672677426973
727,9.111741925948143
728,7.872594968511136
729,10.140848115132178
730,6.670002373285911
